timestamp,raw_heap_metric,raw_gc_metric,raw_mempool_size,normalized_H_t,normalized_G_t,normalized_Q_mem,RPI,current_mode,previous_mode,transition_event,dominant_cause,applied_action,debug_control,accepted_tx_count,rejected_tx_count,rejection_reason_breakdown
2026-09-16T05:18:02.8305971+00:00,3362073488,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3263,15834,"RacePacingRejected, RACE action=reject_survival:15361;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:03.3301648+00:00,3362253904,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3263,15837,"RacePacingRejected, RACE action=reject_survival:15364;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:03.8299467+00:00,3362278064,0.000000,1,1.000000,0.000000,0.000244,0.340081,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3264,15838,"RacePacingRejected, RACE action=reject_survival:15365;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:04.3305898+00:00,3362736464,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3264,15841,"RacePacingRejected, RACE action=reject_survival:15368;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:04.8300563+00:00,3362777536,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3264,15843,"RacePacingRejected, RACE action=reject_survival:15370;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:05.3306937+00:00,3363217800,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3264,15846,"RacePacingRejected, RACE action=reject_survival:15373;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:05.8303631+00:00,3363254560,0.000000,1,1.000000,0.000000,0.000244,0.340081,SURVIVAL,SURVIVAL,NONE,H_t,allow_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3265,15847,"RacePacingRejected, RACE action=reject_survival:15374;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:06.3304859+00:00,3363707816,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3265,15850,"RacePacingRejected, RACE action=reject_survival:15377;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:06.8300941+00:00,3363748656,0.000000,1,1.000000,0.000000,0.000244,0.340081,SURVIVAL,SURVIVAL,NONE,H_t,allow_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3266,15851,"RacePacingRejected, RACE action=reject_survival:15378;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:07.3307218+00:00,3364927288,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3266,15854,"RacePacingRejected, RACE action=reject_survival:15381;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
