timestamp,raw_heap_metric,raw_gc_metric,raw_mempool_size,normalized_H_t,normalized_G_t,normalized_Q_mem,RPI,current_mode,previous_mode,transition_event,dominant_cause,applied_action,debug_control,accepted_tx_count,rejected_tx_count,rejection_reason_breakdown
2026-09-16T04:39:22.1707414+00:00,30088744,5.707970,0,0.058767,1.000000,0.000000,0.349981,PACING,NORMAL,NORMAL->PACING,G_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:22.6701132+00:00,50074048,0.000000,0,0.097801,0.000000,0.000000,0.033252,NORMAL,PACING,PACING->NORMAL,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:23.1706244+00:00,54866696,0.000000,0,0.107162,0.000000,0.000000,0.036435,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:23.6701510+00:00,54866696,0.000000,0,0.107162,0.000000,0.000000,0.036435,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:24.1706772+00:00,59660272,0.000000,0,0.116524,0.000000,0.000000,0.039618,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:24.6700673+00:00,59668496,0.000000,0,0.116540,0.000000,0.000000,0.039624,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:25.1706608+00:00,64452088,0.000000,0,0.125883,0.000000,0.000000,0.042800,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:25.6701005+00:00,64460312,0.000000,0,0.125899,0.000000,0.000000,0.042806,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:26.1706071+00:00,69114040,0.000000,0,0.134988,0.000000,0.000000,0.045896,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:26.6707470+00:00,69122264,0.000000,0,0.135004,0.000000,0.000000,0.045902,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:27.1697535+00:00,69590520,0.000000,0,0.135919,0.000000,0.000000,0.046212,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:27.6705901+00:00,69590520,0.000000,0,0.135919,0.000000,0.000000,0.046212,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:28.1706521+00:00,102421944,0.000000,0,0.200043,0.000000,0.000000,0.068015,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,0,0,none
2026-09-16T04:39:28.6702483+00:00,103167400,0.000000,23,0.201499,0.000000,0.005615,0.070363,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,23,0,none
2026-09-16T04:39:29.1701958+00:00,112450480,0.000000,5,0.219630,0.000000,0.001221,0.075077,NORMAL,NORMAL,NONE,H_t,allow_normal,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,30,0,none
