timestamp,price,mode,accepted
2026-09-16T05:59:22.015672177Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.033204004Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.040044614Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.046366273Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.052434786Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.058526812Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.063866776Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.069271431Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.074742440Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.080237089Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.085103360Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.089876069Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.094758265Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.099414487Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.104833814Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.109822141Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.114795156Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.120126868Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.125430418Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.130740574Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.135263755Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.139892462Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.144568081Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.148886630Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.153037740Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.162791428Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.174764978Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.180494074Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.186487447Z,1000000000.0,NORMAL,true
2026-09-16T05:59:22.192209056Z,1000000000.0,NORMAL,true
2026-09-16T05:59:28.689531834Z,1000000030.0,NORMAL,true
2026-09-16T05:59:28.691146065Z,5000000031.0,NORMAL,true
2026-09-16T05:59:28.785371716Z,1000000130.0,NORMAL,true
2026-09-16T05:59:28.786754414Z,5000000130.0,NORMAL,true
2026-09-16T05:59:28.885098767Z,1000000230.0,NORMAL,true
2026-09-16T05:59:28.886571039Z,5000000230.0,NORMAL,true
2026-09-16T05:59:28.985117750Z,1000000330.0,NORMAL,true
2026-09-16T05:59:28.986544713Z,5000000329.0,NORMAL,true
2026-09-16T05:59:29.085212330Z,1000000430.0,NORMAL,true
2026-09-16T05:59:29.087050006Z,5000000429.0,NORMAL,true
2026-09-16T05:59:29.184569003Z,1000000529.0,NORMAL,true
2026-09-16T05:59:29.185985871Z,5000000530.0,NORMAL,true
2026-09-16T05:59:29.284604807Z,1000000630.0,NORMAL,true
2026-09-16T05:59:29.286085396Z,5000000630.0,NORMAL,true
2026-09-16T05:59:29.384933491Z,1000000730.0,NORMAL,true
2026-09-16T05:59:29.386341594Z,5000000729.0,NORMAL,true
2026-09-16T05:59:29.485106702Z,1000000830.0,NORMAL,true
2026-09-16T05:59:29.486404186Z,5000000830.0,NORMAL,true
2026-09-16T05:59:29.584824848Z,1000000929.0,NORMAL,true
2026-09-16T05:59:29.586420340Z,5000000930.0,NORMAL,true
2026-09-16T05:59:29.684412967Z,1000001029.0,NORMAL,true
2026-09-16T05:59:29.685807250Z,5000001029.0,NORMAL,true
2026-09-16T05:59:29.784726850Z,1000001130.0,NORMAL,true
2026-09-16T05:59:29.785945262Z,5000001129.0,NORMAL,true
2026-09-16T05:59:29.884711776Z,1000001230.0,NORMAL,true
2026-09-16T05:59:29.885926923Z,5000001229.0,NORMAL,true
2026-09-16T05:59:29.984042181Z,5000001328.0,NORMAL,true
2026-09-16T05:59:29.985456922Z,1000001330.0,NORMAL,true
2026-09-16T05:59:30.085009072Z,5000001429.0,NORMAL,true
2026-09-16T05:59:30.086197686Z,1000001430.0,NORMAL,true
